LJ001-0001|让大家去增补|让大家去增补
LJ001-0002|工寮的人都去划龙舟了|工寮的人都去划龙舟了
LJ001-0003|是我们达成目标最重要的关键|是我们达成目标最重要的关键
LJ001-0004|电死大象这件事情|电死大象这件事情
LJ001-0005|四千个无版权句子|四千个无版权句子
LJ001-0006|如果大家说的话|如果大家说的话
LJ001-0007|鬼打墙|鬼打墙
LJ001-0008|危险的第三世界国家|危险的第三世界国家
LJ001-0009|这个议题后来有下文吗？|这个议题后来有下文吗？
LJ001-0010|李大哥一路好走|李大哥一路好走
LJ001-0011|会让人非常生气|会让人非常生气
LJ001-0012|实现世代正义|实现世代正义
LJ001-0013|或相关的图片|或相关的图片
LJ001-0014|更让我认清|更让我认清
LJ001-0015|记者抄错数字和单位|记者抄错数字和单位
LJ001-0016|有想法|有想法
LJ001-0017|邪教检查表|邪教检查表
LJ001-0018|投票通知单|投票通知单
LJ001-0019|并立即进行试验|并立即进行试验
LJ001-0020|四海游龙，八方云集|四海游龙，八方云集
LJ001-0021|最近好像有一个活动|最近好像有一个活动
LJ001-0022|中山区大佳里|中山区大佳里
LJ001-0023|新的身份证|新的身份证
LJ001-0024|在台湾的标准|在台湾的标准
LJ001-0025|千金难买早知道，我要回家去睡觉|千金难买早知道，我要回家去睡觉
LJ001-0026|让一首歌失去著作权|让一首歌失去著作权
LJ001-0027|这个岛上先来后到的顺序|这个岛上先来后到的顺序
LJ001-0028|来弹奏佛朗明哥吉他|来弹奏佛朗明哥吉他
LJ001-0029|人比人气死人，蛋饼比蛋饼起司蛋饼|人比人气死人，蛋饼比蛋饼起司蛋饼
LJ001-0030|而这些机关中|而这些机关中
LJ001-0031|应该是模型没错啦|应该是模型没错啦
LJ001-0032|但是只是远远绕了半圈|但是只是远远绕了半圈
LJ001-0033|开始使用载具的诱因|开始使用载具的诱因
LJ001-0034|真的是没法防止|真的是没法防止
LJ001-0035|要怎么感受世界呢？|要怎幺感受世界呢？
LJ001-0036|猫真的可以伸很长|猫真的可以伸很长
LJ001-0037|深沟钓鱼大赛|深沟钓鱼大赛
LJ001-0038|一家搬往台北芦洲|一家搬往台北芦洲
LJ001-0039|我们也感同身受|我们也感同身受
LJ001-0040|把作生意用的准备金赔光了|把作生意用的准备金赔光了
LJ001-0041|会积极催生开发案|会积极催生开发案
LJ001-0042|台北数位产业园区于六月底正式营运|台北数位产业园区于六月底正式营运
LJ001-0043|市府是一直都有在做|市府是一直都有在做
LJ001-0044|奶奶的离去|奶奶的离去
LJ001-0045|某个手势代表覆议|某个手势代表覆议
LJ001-0046|桃园市中正路|桃园市中正路
LJ001-0047|高铁联外公路台南段|高铁联外公路台南段
LJ001-0048|瑞平公路|瑞平公路
LJ001-0049|中兴大桥|中兴大桥
LJ001-0050|北屯交流道|北屯交流道
LJ001-0051|樟原桥|樟原桥
LJ001-0052|文横三路|文横三路
LJ001-0053|现为停车场|现为停车场
LJ001-0054|淡水河出海口的兴建中桥梁|淡水河出海口的兴建中桥梁
LJ001-0055|高原交流道|高原交流道
LJ001-0056|绝对不会有这种类型的人|绝对不会有这种类型的人
LJ001-0057|北港溪糯米桥|北港溪糯米桥
LJ001-0058|花莲县玉里镇玉泉寺|花莲县玉里镇玉泉寺
LJ001-0059|林园区沿海路|林园区沿海路
LJ001-0060|忠孝桥|忠孝桥
LJ001-0061|西螺大桥|西螺大桥
LJ001-0062|误人子弟|误人子弟
LJ001-0063|台北市长安西路|台北市长安西路
LJ001-0064|重点区域与具体项目|重点区域与具体项目
LJ001-0065|可以压低到五万以内|可以压低到五万以内
LJ001-0066|台湾的环岛脚踏车路线|台湾的环岛脚踏车路线
LJ001-0067|东部一条南北向的省道|东部一条南北向的省道
LJ001-0068|台二十七线|台二十七线
LJ001-0069|小港机场快线|小港机场快线
LJ001-0070|淡金公路|淡金公路
LJ001-0071|可以来这里洗版|可以来这里洗版
LJ001-0072|衔接菲律宾海与南海|衔接菲律宾海与南海
LJ001-0073|月眉交流道|月眉交流道
LJ001-0074|台北捷运信义线|台北捷运信义线
LJ001-0075|南投县云龙桥|南投县云龙桥
